,pagefaults_time,cpu_statistics_time,pagefaults_uid,kernel_statistics_time,threads_percent_system,stack_utilization_pid,kernel_tables_time,cpu_statistics_pid,threads_cpu,kernel_tables_uid,kernel_statistics_kb_ccwr_s,pagefaults_pid,task_switching_time,stack_utilization_stksize,task_switching_pid,pagefaults_minflt_s,task_switching_nvcswch_s,threads_percent_guest,kernel_statistics_pid,policy_pid,pagefaults_vsz,cpu_statistics_percent_cpu,cpu_statistics_percent_system,threads_time,task_switching_uid,policy_time,kernel_statistics_kb_rd_s,stack_utilization_time,kernel_statistics_uid,policy_uid,pagefaults_rss,pagefaults_majflt_s,threads_uid,cpu_statistics_percent_guest,pagefaults_percent_mem,threads_percent_cpu,cpu_statistics_uid,stack_utilization_stkref,kernel_tables_pid,cpu_statistics_cpu,cpu_statistics_percent_usr,kernel_statistics_kb_wr_s,threads_percent_usr,task_switching_cswch_s,stack_utilization_uid,timepoint,rank
0,181809,181809,0,181809,0.0,20,181809,20,1,0,0.0,20,181809,132,20,0.0,0.0,0.0,20,20,8808,0.0,0.0,181809,0,181809,0.02,181809,0,0,3504,0.0,0,0.0,0.02,0.0,0,12,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0
1,181809,181809,0,181809,0.0,20,181809,20,1,0,0.0,20,181809,132,20,0.0,0.0,0.0,20,20,8808,0.0,0.0,181809,0,181809,0.02,181809,0,0,3504,0.0,0,0.0,0.02,0.0,0,12,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0
2,181809,181809,0,181809,0.0,20,181809,20,1,0,0.0,20,181809,132,20,0.0,0.0,0.0,20,20,8808,0.0,0.0,181809,0,181809,0.02,181809,0,0,3504,0.0,0,0.0,0.02,0.0,0,12,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0
3,181809,181809,0,181809,0.0,20,181809,20,1,0,0.0,20,181809,132,20,0.0,0.0,0.0,20,20,8808,0.0,0.0,181809,0,181809,0.02,181809,0,0,3504,0.0,0,0.0,0.02,0.0,0,12,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0
4,181809,181809,0,181809,0.0,20,181809,20,1,0,0.0,20,181809,132,20,0.0,0.0,0.0,20,20,8808,0.0,0.0,181809,0,181809,0.02,181809,0,0,3504,0.0,0,0.0,0.02,0.0,0,12,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0
5,181809,181809,0,181809,0.0,20,181809,20,1,0,0.0,20,181809,132,20,0.0,0.0,0.0,20,20,8808,0.0,0.0,181809,0,181809,0.02,181809,0,0,3504,0.0,0,0.0,0.02,0.0,0,12,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0
6,181809,181809,0,181809,0.0,20,181809,20,1,0,0.0,20,181809,132,20,0.0,0.0,0.0,20,20,8808,0.0,0.0,181809,0,181809,0.02,181809,0,0,3504,0.0,0,0.0,0.02,0.0,0,12,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0
7,181809,181809,0,181809,0.0,20,181809,20,1,0,0.0,20,181809,132,20,0.0,0.0,0.0,20,20,8808,0.0,0.0,181809,0,181809,0.02,181809,0,0,3504,0.0,0,0.0,0.02,0.0,0,12,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0
8,181812,181812,0,181812,0.0,20,181812,20,2,0,0.0,20,181812,132,20,0.0,0.0,0.0,20,20,8808,0.0,0.0,181812,0,181812,0.04,181812,0,0,3536,0.0,0,0.0,0.02,0.0,0,12,20,2,0.0,0.0,0.0,0.0,0,1.0,0.0
9,181812,181812,0,181812,0.0,20,181812,20,2,0,0.0,20,181812,132,20,0.0,0.0,0.0,20,20,8808,0.0,0.0,181812,0,181812,0.04,181812,0,0,3536,0.0,0,0.0,0.02,0.0,0,12,20,2,0.0,0.0,0.0,0.0,0,1.0,0.0
10,181812,181812,0,181812,0.0,20,181812,20,2,0,0.0,20,181812,132,20,0.0,0.0,0.0,20,20,8808,0.0,0.0,181812,0,181812,0.04,181812,0,0,3536,0.0,0,0.0,0.02,0.0,0,12,20,2,0.0,0.0,0.0,0.0,0,1.0,0.0
11,181812,181812,0,181812,0.0,20,181812,20,2,0,0.0,20,181812,132,20,0.0,0.0,0.0,20,20,8808,0.0,0.0,181812,0,181812,0.04,181812,0,0,3536,0.0,0,0.0,0.02,0.0,0,12,20,2,0.0,0.0,0.0,0.0,0,1.0,0.0
12,181812,181812,0,181812,0.0,20,181812,20,2,0,0.0,20,181812,132,20,0.0,0.0,0.0,20,20,8808,0.0,0.0,181812,0,181812,0.04,181812,0,0,3536,0.0,0,0.0,0.02,0.0,0,12,20,2,0.0,0.0,0.0,0.0,0,1.0,0.0
13,181812,181812,0,181812,0.0,20,181812,20,2,0,0.0,20,181812,132,20,0.0,0.0,0.0,20,20,8808,0.0,0.0,181812,0,181812,0.04,181812,0,0,3536,0.0,0,0.0,0.02,0.0,0,12,20,2,0.0,0.0,0.0,0.0,0,1.0,0.0
14,181812,181812,0,181812,0.0,20,181812,20,2,0,0.0,20,181812,132,20,0.0,0.0,0.0,20,20,8808,0.0,0.0,181812,0,181812,0.04,181812,0,0,3536,0.0,0,0.0,0.02,0.0,0,12,20,2,0.0,0.0,0.0,0.0,0,1.0,0.0
15,181812,181812,0,181812,0.0,20,181812,20,2,0,0.0,20,181812,132,20,0.0,0.0,0.0,20,20,8808,0.0,0.0,181812,0,181812,0.04,181812,0,0,3536,0.0,0,0.0,0.02,0.0,0,12,20,2,0.0,0.0,0.0,0.0,0,1.0,0.0
16,181815,181815,0,181815,0.0,20,181815,20,2,0,0.0,20,181815,132,20,0.0,0.0,0.0,20,20,8808,0.0,0.0,181815,0,181815,0.04,181815,0,0,3536,0.0,0,0.0,0.02,0.0,0,12,20,2,0.0,0.0,0.0,0.0,0,2.0,0.0
17,181815,181815,0,181815,0.0,20,181815,20,2,0,0.0,20,181815,132,20,0.0,0.0,0.0,20,20,8808,0.0,0.0,181815,0,181815,0.04,181815,0,0,3536,0.0,0,0.0,0.02,0.0,0,12,20,2,0.0,0.0,0.0,0.0,0,2.0,0.0
