,instance,vcpu,cores,memory_mb,gpu,spot_price,price
0,c2-standard-16,16,8.0,65536,False,0.1011253304109589,0.8433243704109589
1,c2-standard-30,30,15.0,122880,False,0.1886510904109589,1.5802742904109588
2,c2-standard-4,4,2.0,16384,False,0.026103250410958904,0.21165301041095888
3,c2-standard-60,60,30.0,245760,False,0.37620629041095893,3.159452690410959
4,c2-standard-8,8,4.0,32768,False,0.0511106104109589,0.4222101304109589
5,c2d-highcpu-112,112,56.0,229376,False,0.577438930410959,4.851887570410958
6,c2d-highcpu-16,16,8.0,32768,False,0.08343061041095891,0.6940661304109589
7,c2d-highcpu-2,2,1.0,4096,False,0.011387730410958904,0.0877171704109589
8,c2d-highcpu-32,32,16.0,65536,False,0.1657653304109589,1.3870363704109587
9,c2d-highcpu-4,4,2.0,8192,False,0.021679570410958904,0.17433845041095888
10,c2d-highcpu-56,56,28.0,114688,False,0.28926741041095894,2.426491730410959
11,c2d-highcpu-8,8,4.0,16384,False,0.0422632504109589,0.3475810104109589
12,c2d-highmem-112,112,56.0,917504,False,0.949028050410959,7.986310610410959
13,c2d-highmem-16,16,8.0,131072,False,0.1365147704109589,1.141840850410959
14,c2d-highmem-2,2,1.0,16384,False,0.018023250410958907,0.1436890104109589
15,c2d-highmem-32,32,16.0,262144,False,0.27193365041095896,2.2825858104109593
16,c2d-highmem-4,4,2.0,32768,False,0.034950610410958906,0.28628213041095896
17,c2d-highmem-56,56,28.0,458752,False,0.47506197041095893,3.993703250410959
18,c2d-highmem-8,8,4.0,65536,False,0.06880533041095892,0.571468370410959
19,c2d-standard-112,112,56.0,458752,False,0.701301970410959,5.896695250410959
20,c2d-standard-16,16,8.0,65536,False,0.1011253304109589,0.8433243704109589
21,c2d-standard-2,2,1.0,8192,False,0.013599570410958904,0.1063744504109589
22,c2d-standard-32,32,16.0,131072,False,0.2011547704109589,1.6855528504109587
23,c2d-standard-4,4,2.0,16384,False,0.026103250410958904,0.21165301041095888
24,c2d-standard-56,56,28.0,229376,False,0.35119893041095895,2.948895570410959
25,c2d-standard-8,8,4.0,32768,False,0.0511106104109589,0.4222101304109589
26,c3-highcpu-176,176,88.0,360448,False,2.592229842410959,7.623768530410958
27,c3-highcpu-22,22,11.0,45056,False,0.3249876344109589,0.9539299704109588
28,c3-highcpu-4,4,2.0,8192,False,0.0599852984109589,0.17433845041095888
29,c3-highcpu-44,44,22.0,90112,False,0.6488793784109589,1.9067640504109586
30,c3-highcpu-8,8,4.0,16384,False,0.1188747064109589,0.3475810104109589
31,c3-highcpu-88,88,44.0,180224,False,1.2966628664109587,3.8124322104109587
32,c3-highmem-176,176,88.0,1441792,False,4.267231698410958,12.549290450410957
33,c3-highmem-22,22,11.0,180224,False,0.5343628664109589,1.5696202104109587
34,c3-highmem-4,4,2.0,32768,False,0.09805352241095891,0.28628213041095896
35,c3-highmem-44,44,22.0,360448,False,1.0676298424109587,3.1381445304109588
36,c3-highmem-8,8,4.0,65536,False,0.1950111544109589,0.571468370410959
37,c3-highmem-88,88,44.0,720896,False,2.134163794410959,6.275193170410958
38,c3-standard-176,176,88.0,720896,False,3.150563794410959,9.265609170410958
39,c3-standard-176-lssd,176,88.0,720896,False,3.150563794410959,9.265609170410958
40,c3-standard-22,22,11.0,90112,False,0.3947793784109589,1.1591600504109587
41,c3-standard-22-lssd,22,11.0,90112,False,0.3947793784109589,1.1591600504109587
42,c3-standard-4,4,2.0,16384,False,0.07267470641095891,0.21165301041095888
43,c3-standard-4-lssd,4,2.0,16384,False,0.07267470641095891,0.21165301041095888
44,c3-standard-44,44,22.0,180224,False,0.7884628664109589,2.317224210410959
45,c3-standard-44-lssd,44,22.0,180224,False,0.7884628664109589,2.317224210410959
46,c3-standard-8,8,4.0,32768,False,0.1442535224109589,0.4222101304109589
47,c3-standard-8-lssd,8,4.0,32768,False,0.1442535224109589,0.4222101304109589
48,c3-standard-88,88,44.0,360448,False,1.5758298424109587,4.633352530410958
49,c3-standard-88-lssd,88,44.0,360448,False,1.5758298424109587,4.633352530410958
50,c3d-highcpu-16,16,8.0,32768,False,0.2060016184109589,0.6038324024109589
51,c3d-highcpu-180,180,90.0,362496,False,2.298015506410959,6.757557554410958
52,c3d-highcpu-30,30,15.0,60416,False,0.3839158264109589,1.1271728344109588
53,c3d-highcpu-360,360,180.0,724992,False,4.594935122410958,13.514019218410958
54,c3d-highcpu-4,4,2.0,8192,False,0.0523223224109589,0.1517800184109589
55,c3d-highcpu-60,60,30.0,120832,False,0.7667357624109589,2.253249778410959
56,c3d-highcpu-8,8,4.0,16384,False,0.10354875441095891,0.3024641464109589
57,c3d-highcpu-90,90,45.0,181248,False,1.1495556984109587,3.379326722410959
58,c3d-highmem-16,16,8.0,131072,False,0.3383188024109589,0.9930179384109589
59,c3d-highmem-180,180,90.0,1474560,False,3.794853650410959,11.16021893041096
60,c3d-highmem-30,30,15.0,245760,False,0.6333888504109589,1.8609497304109588
61,c3d-highmem-360,360,180.0,2949120,False,7.588611410410959,22.31934197041096
62,c3d-highmem-4,4,2.0,32768,False,0.0854016184109589,0.24907640241095888
63,c3d-highmem-60,60,30.0,491520,False,1.2656818104109588,3.720803570410959
64,c3d-highmem-8,8,4.0,65536,False,0.1697073464109589,0.4970569144109589
65,c3d-highmem-90,90,45.0,737280,False,1.8979747704109589,5.580657410410959
66,c3d-standard-16,16,8.0,65536,False,0.2501073464109589,0.7335609144109588
67,c3d-standard-16-lssd,16,8.0,65536,False,0.2501073464109589,0.7335609144109588
68,c3d-standard-180,180,90.0,737280,False,2.8024747704109587,8.241327410410959
69,c3d-standard-180-lssd,180,90.0,737280,False,2.8024747704109587,8.241327410410959
70,c3d-standard-30,30,15.0,122880,False,0.46799237041095887,1.3744678104109587
71,c3d-standard-30-lssd,30,15.0,122880,False,0.46799237041095887,1.3744678104109587
72,c3d-standard-360,360,180.0,1474560,False,5.603853650410958,16.48155893041096
73,c3d-standard-360-lssd,360,180.0,1474560,False,5.603853650410958,16.48155893041096
74,c3d-standard-4,4,2.0,16384,False,0.0633487544109589,0.18421214641095887
75,c3d-standard-60,60,30.0,245760,False,0.9348888504109588,2.7478397304109587
76,c3d-standard-60-lssd,60,30.0,245760,False,0.9348888504109588,2.7478397304109587
77,c3d-standard-8,8,4.0,32768,False,0.1256016184109589,0.3673284024109589
78,c3d-standard-8-lssd,8,4.0,32768,False,0.1256016184109589,0.3673284024109589
79,c3d-standard-90,90,45.0,368640,False,1.4017853304109587,4.121211650410959
80,c3d-standard-90-lssd,90,45.0,368640,False,1.4017853304109587,4.121211650410959
81,e2-highcpu-16,16,8.0,16384,False,0.1201612570669589,0.3979804459309589
82,e2-highcpu-2,2,1.0,2048,False,0.015979061242958902,0.050706459850958896
83,e2-highcpu-32,32,16.0,32768,False,0.2392266237229589,0.7948650014509588
84,e2-highcpu-4,4,2.0,4096,False,0.030862232074958904,0.1003170292909589
85,e2-highcpu-8,8,4.0,8192,False,0.0606285737389589,0.19953816817095887
86,e2-highmem-16,16,8.0,131072,False,0.2207493996589589,0.7332742545709588
87,e2-highmem-2,2,1.0,16384,False,0.028552579066958905,0.0926181859309589
88,e2-highmem-4,4,2.0,32768,False,0.0560092677229589,0.18414048145095888
89,e2-highmem-8,8,4.0,65536,False,0.11092264503495891,0.3671850724909589
90,e2-medium,2,1.0,4096,False,0.017775278074958906,0.0566938492909589
91,e2-micro,2,1.0,1024,False,0.015080952826958904,0.0477127651309589
92,e2-small,2,1.0,2048,False,0.015979061242958902,0.050706459850958896
93,e2-standard-16,16,8.0,65536,False,0.1632704610349589,0.5416777924909589
94,e2-standard-2,2,1.0,8192,False,0.021367711738958906,0.06866862817095891
95,e2-standard-32,32,16.0,131072,False,0.32544503165895894,1.0822596945709588
96,e2-standard-4,4,2.0,16384,False,0.0416395330669589,0.1362413659309589
97,e2-standard-8,8,4.0,32768,False,0.08218317572295891,0.2713868414509589
98,m1-megamem-96,96,48.0,1468006,False,4.233899854410959,10.82872649041096
99,m1-ultramem-160,160,80.0,3936256,False,10.025990354410958,25.644001490410957
100,m1-ultramem-40,40,20.0,984064,False,2.507319506410959,6.411822290410958
101,m1-ultramem-80,80,40.0,1968128,False,5.013543122410958,12.822548690410958
102,m3-megamem-128,128,64.0,1998848,False,5.7275988024109585,14.64962069041096
103,m3-megamem-64,64,32.0,999424,False,2.864347346410959,7.325358290410959
104,m3-ultramem-128,128,64.0,3997696,False,9.713301714410958,24.84374549041096
105,m3-ultramem-32,32,16.0,999424,False,2.429147346410959,6.211758290410959
106,m3-ultramem-64,64,32.0,1998848,False,4.8571988024109585,12.42242069041096
107,n2-highcpu-16,16,8.0,16384,False,0.1571066424109589,0.663339090410959
108,n2-highcpu-2,2,1.0,2048,False,0.020597234410958905,0.08387629041095891
109,n2-highcpu-32,32,16.0,32768,False,0.3131173944109589,1.3255822904109589
110,n2-highcpu-4,4,2.0,4096,False,0.0400985784109589,0.1666566904109589
111,n2-highcpu-48,48,24.0,49152,False,0.46912814641095885,1.9878254904109587
112,n2-highcpu-64,64,32.0,65536,False,0.6251388984109589,2.650068690410959
113,n2-highcpu-8,8,4.0,8192,False,0.07910126641095891,0.33221749041095894
114,n2-highcpu-80,80,40.0,81920,False,0.7811496504109589,3.312311890410959
115,n2-highcpu-96,96,48.0,98304,False,0.9371604024109588,3.974555090410959
116,n2-highmem-128,128,64.0,884736,False,2.118156498410959,12.496532690410959
117,n2-highmem-16,16,8.0,131072,False,0.2893419064109589,1.7586094904109588
118,n2-highmem-2,2,1.0,16384,False,0.0371266424109589,0.2207850904109589
119,n2-highmem-32,32,16.0,262144,False,0.5775879224109589,3.516123090410959
120,n2-highmem-4,4,2.0,32768,False,0.0731573944109589,0.4404742904109589
