,ranks,time
0,400,207.731
1,3200,33.6019
2,1600,59.753
3,6400,18.5366
4,400,207.786
5,1600,59.7636
6,1600,59.6456
7,1600,59.7651
8,800,108.17
9,800,108.37
10,800,108.659
11,6400,18.5874
12,400,208.078
13,6400,18.5835
14,6400,18.5
15,3200,33.6497
16,400,207.775
17,800,108.427
18,6400,18.58
19,3200,33.5094
20,400,206.902
21,3200,33.5312
22,3200,33.6144
23,800,108.322
24,1600,59.8753
