,ranks,time
0,1600,82.4823
1,400,289.509
2,1600,82.4626
3,800,152.564
4,400,289.548
5,1600,82.4126
6,800,151.703
7,6400,26.0609
8,3200,46.7099
9,400,289.358
10,6400,25.8769
11,3200,46.6282
12,6400,26.3115
13,6400,25.8976
14,3200,46.7019
15,800,151.564
16,6400,25.8226
17,400,289.436
18,800,151.48
19,400,289.654
20,3200,46.6882
21,1600,82.6101
22,1600,82.5726
23,800,151.867
24,3200,46.6657
