,uid,storage,instance,size,blocksize,read_io_bytes,read_io_kbytes,read_bw_bytes,read_bw,read_iops,read_runtime,read_total_ios,read_short_ios,read_drop_ios,read_bw_min,read_bw_max,read_bw_agg,read_bw_mean,read_bw_dev,read_bw_samples,read_iops_min,read_iops_max,read_iops_mean,read_iops_stddev,read_iops_samples,write_io_bytes,write_io_kbytes,write_bw_bytes,write_bw,write_iops,write_runtime,write_total_ios,write_short_ios,write_drop_ios,write_bw_min,write_bw_max,write_bw_agg,write_bw_mean,write_bw_dev,write_bw_samples,write_iops_min,write_iops_max,write_iops_mean,write_iops_stddev,write_iops_samples,trim_io_bytes,trim_io_kbytes,trim_bw_bytes,trim_bw,trim_iops,trim_runtime,trim_total_ios,trim_short_ios,trim_drop_ios,trim_bw_min,trim_bw_max,trim_bw_agg,trim_bw_mean,trim_bw_dev,trim_bw_samples,trim_iops_min,trim_iops_max,trim_iops_mean,trim_iops_stddev,trim_iops_samples
26,4,filestore,n1-standard-2,3,128,2419064832,2362368,378037948,369177,2884.200656,6399,18456,0,0,346880,414464,100.0,370563.0,20341.907527,12,2710,3238,2895.0,158.927084,12,802160640,783360,125357187,122419,956.399437,6399,6120,0,0,114688,130816,99.504875,121813.833333,5679.503785,12,896,1022,951.666667,44.368976,12,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
27,3,filestore,n1-standard-2,1,32,805666816,786784,157387539,153698,4803.08654,5119,24587,0,0,138176,187840,99.493966,152921.6,13852.684643,10,4318,5870,4778.8,432.896395,10,268075008,261792,52368628,51141,1598.163704,5119,8181,0,0,47744,60352,98.636642,50444.8,3617.469121,10,1492,1886,1576.4,113.04591,10,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
28,1,filestore,n1-standard-2,1,64,804519936,785664,295345057,288422,4506.60793,2724,12276,0,0,267752,337152,100.0,289761.6,28145.396441,5,4183,5268,4527.4,439.894078,5,269221888,262912,98833292,96516,1508.076358,2724,4108,0,0,88448,107008,99.742131,96268.8,6797.932862,5,1382,1672,1504.2,106.217701,5,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
29,1,filestore,n1-standard-2,3,32,2418606080,2361920,153348090,149753,4679.812326,15772,73810,0,0,133376,183936,99.928553,149647.83871,10251.249797,31,4168,5748,4676.483871,320.36405,31,802619392,783808,50888878,49696,1553.005326,15772,24494,0,0,47296,59008,99.687763,49541.032258,2130.869236,31,1478,1844,1548.129032,66.585154,31,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
30,4,filestore,n1-standard-2,3,32,2418606080,2361920,153289775,149697,4678.032704,15778,73810,0,0,132736,182144,99.820273,149428.709677,9342.456987,31,4148,5692,4669.645161,291.953255,31,802619392,783808,50869526,49677,1552.414755,15778,24494,0,0,47680,58944,99.629063,49493.580645,2057.105568,31,1490,1842,1546.645161,64.285586,31,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
31,2,filestore,n1-standard-2,1,64,804519936,785664,296324101,289379,4521.546961,2715,12276,0,0,261632,338432,100.0,290560.0,29740.518355,5,4088,5288,4540.0,464.695599,5,269221888,262912,99160916,96836,1513.075506,2715,4108,0,0,92672,108544,99.664557,96512.0,6806.90473,5,1448,1696,1508.0,106.357886,5,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
32,4,filestore,n1-standard-2,2,128,1609039872,1571328,378152731,369289,2885.076381,4255,12276,0,0,341504,444928,100.0,371616.0,35346.794173,8,2668,3476,2903.25,276.146829,8,538443776,525824,126543778,123577,965.452409,4255,4108,0,0,112640,146944,98.917356,122240.0,10747.645377,8,880,1148,955.0,83.96598,8,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
33,0,filestore,n1-standard-2,1,32,805666816,786784,157726471,154029,4813.429914,5108,24587,0,0,144448,184782,100.0,154068.6,11913.477934,10,4514,5774,4814.6,372.170869,10,268075008,261792,52481403,51251,1601.605325,5108,8181,0,0,48448,59017,99.275395,50880.9,3071.684172,10,1514,1844,1590.0,95.907363,10,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
34,2,filestore,n1-standard-2,4,128,3222667264,3147136,378869887,369990,2890.547849,8506,24587,0,0,323328,410880,100.0,370608.0,24407.729486,16,2526,3210,2895.375,190.685387,16,1072300032,1047168,126063958,123109,961.791676,8506,8181,0,0,113152,137472,100.0,123168.0,5590.635981,16,884,1074,962.25,43.676844,16,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
35,2,filestore,n1-standard-2,1,256,798490624,779776,399644956,390278,1524.524525,1998,3046,0,0,386560,469588,100.0,420721.333333,43423.465054,3,1510,1834,1643.333333,169.438288,3,275251200,268800,137763363,134534,525.525526,1998,1050,0,0,111104,150227,98.620032,132678.333333,19869.745251,3,434,586,518.0,77.252832,3,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
