,ranks,pods,time
0,400,8,152.835
1,400,8,152.435
2,200,4,280.52
3,1600,32,49.6275
4,1600,32,47.9066
5,1600,32,48.294
6,1600,32,48.6985
7,3200,64,29.7367
8,3200,64,30.926
9,3200,64,29.9923
10,3200,64,30.558
11,3200,64,29.6541
12,800,16,81.6412
13,800,16,82.9041
14,800,16,81.1823
15,6400,128,22.57
16,6400,128,19.6833
17,6400,128,20.6469
18,6400,128,20.2143
19,6400,128,19.9148
